STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
01,003,011300,4,1081,+30.446058,-087.894776
01,003,011401,1,3030,+30.420478,-087.741281
01,003,011401,2,925,+30.402795,-087.765789
01,003,011401,3,1675,+30.387732,-087.761740
01,003,011401,4,3144,+30.338606,-087.751910
01,003,011401,5,1858,+30.434277,-087.799234
01,003,011403,1,2767,+30.308764,-087.702145
01,003,011403,2,2762,+30.301651,-087.667441
01,003,011403,3,3602,+30.341379,-087.669794
01,003,011405,1,2331,+30.297380,-087.549248
01,003,011405,2,1501,+30.286953,-087.526198
01,003,011406,1,1239,+30.275641,-087.677193
01,003,011406,2,426,+30.259548,-087.640244
01,003,011406,3,1747,+30.289335,-087.606656
01,003,011407,1,1551,+30.257781,-087.745576
01,003,011407,2,1283,+30.251307,-087.717333
01,003,011407,3,1965,+30.270852,-087.700257
01,003,011408,1,433,+30.235377,-087.903638
01,003,011501,1,2346,+30.432378,-087.687930
01,003,011501,2,974,+30.412460,-087.696988
01,003,011501,3,1996,+30.423735,-087.688253
01,003,011502,1,4240,+30.377761,-087.690105
01,003,011502,2,1323,+30.403423,-087.691756
01,003,011502,3,2753,+30.399684,-087.660661
01,003,011502,4,2218,+30.369044,-087.642130
01,003,011601,1,1732,+30.444344,-087.566948
01,003,011601,2,2171,+30.397320,-087.591623
01,003,011601,3,703,+30.379348,-087.523492
01,003,011601,4,1456,+30.357445,-087.590162
01,003,011602,1,1426,+30.401674,-087.454915
01,003,011602,2,1160,+30.434068,-087.444727
01,003,011602,3,818,+30.360674,-087.498658
01,003,011602,4,1491,+30.381514,-087.467178
01,003,990000,0,0,+30.328802,-087.882974
01,005,950100,1,471,+32.071754,-085.314513
01,005,950100,2,1253,+32.000196,-085.137527
01,005,950100,3,1597,+31.922735,-085.137373
01,005,950200,1,828,+31.887796,-085.428673
01,005,950200,2,2321,+31.897476,-085.502671
01,005,950200,3,1115,+31.858596,-085.431860
01,005,950300,1,834,+31.779825,-085.526912
01,005,950300,2,804,+31.802986,-085.593135
01,005,950400,1,799,+31.676258,-085.496043
01,005,950400,2,2267,+31.679314,-085.590967
01,005,950400,3,1237,+31.698920,-085.643461
01,005,950500,1,1212,+31.783695,-085.169595
01,005,950500,2,1119,+31.786543,-085.304608
01,005,950500,3,1136,+31.788060,-085.208543
01,005,950600,1,659,+31.881220,-085.150881
01,005,950600,2,1440,+31.868649,-085.220723
01,005,950700,1,727,+31.903381,-085.181898
01,005,950700,2,1000,+31.886649,-085.156118
01,005,950800,1,799,+31.904453,-085.152528
01,005,950800,2,1256,+31.899660,-085.160713
01,005,950900,1,1556,+31.850274,-085.170804
01,005,950900,2,1985,+31.870680,-085.148057
01,005,950900,3,1042,+31.885365,-085.140186
01,007,010001,1,1825,+33.117250,-087.197606
01,007,010001,2,907,+33.073327,-087.142741
01,007,010002,1,2504,+33.149768,-087.135147
01,007,010002,2,1739,+33.200198,-087.073163
01,007,010002,3,1782,+33.213304,-087.146110
01,007,010003,1,885,+32.959768,-087.075294
01,007,010003,2,975,+32.912936,-087.092138
01,007,010003,3,1828,+33.020682,-087.014931
01,007,010003,4,1703,+32.945004,-086.934890
01,007,010004,1,879,+32.997195,-087.246493
01,007,010004,2,1268,+32.958464,-087.185769
01,007,010004,3,904,+32.910887,-087.267650
01,007,010004,4,3120,+32.924605,-087.167351
01,007,010004,5,1153,+32.940680,-087.169453
01,007,010004,6,1443,+32.958737,-087.155641
01,009,050101,1,1308,+33.934471,-086.481679
01,009,050101,2,1726,+33.933103,-086.464572
01,009,050101,3,1780,+33.903668,-086.396254
01,009,050101,4,1269,+33.878328,-086.427773
01,009,050101,5,1775,+33.865714,-086.505288
01,009,050102,1,1342,+33.947913,-086.456801
01,009,050102,2,2390,+33.961384,-086.415139
01,009,050102,3,1338,+33.970520,-086.470051
01,009,050102,4,1980,+33.933496,-086.529313
01,009,050200,1,1851,+34.016598,-086.514553
01,009,050200,2,1938,+33.972275,-086.585814
01,009,050300,1,1442,+34.131532,-086.369868
01,009,050300,2,1179,+34.078092,-086.385615
01,009,050300,3,1335,+34.091008,-086.432063
01,009,050300,4,1313,+34.034837,-086.405865
01,009,050400,1,781,+34.173469,-086.428839
01,009,050400,2,1627,+34.210965,-086.505564
01,009,050400,3,1073,+34.137198,-086.544400
01,009,050400,4,970,+34.113609,-086.475527
01,009,050500,1,1072,+34.075069,-086.554275
01,009,050500,2,1403,+34.088264,-086.616244
01,009,050500,3,1689,+34.052993,-086.599190
01,009,050500,4,868,+34.009497,-086.710108
01,009,050500,5,2297,+33.975734,-086.663163
01,009,050601,1,3035,+33.861008,-086.901466
01,009,050601,2,887,+33.875666,-086.854935
01,009,050602,1,986,+33.939818,-086.738463
01,009,050602,2,2526,+33.859607,-086.776403
01,009,050602,3,909,+33.886242,-086.786907
01,009,050602,4,2593,+33.890054,-086.826552
01,009,050602,5,1909,+33.896742,-086.736571
01,009,050700,1,3122,+33.878575,-086.666176
01,009,050700,2,2229,+33.839319,-086.650442
01,009,050700,3,2094,+33.791602,-086.609859
01,009,050700,4,1286,+33.867890,-086.612378
01,011,952100,1,1434,+32.093127,-085.527085
01,011,952200,1,2928,+32.152549,-085.685223
01,011,952200,2,1490,+32.129063,-085.691961
01,011,952200,3,2684,+32.133479,-085.731690
01,011,952500,1,750,+32.159072,-085.907103
01,011,952500,2,809,+31.984760,-085.698657
01,011,952500,3,819,+32.038886,-085.793998
01,013,952700,1,1697,+31.867963,-086.624342
01,013,952700,2,742,+31.874698,-086.570953
01,013,952800,1,1394,+31.836680,-086.630574
01,013,952900,1,798,+31.857700,-086.677375
01,013,952900,2,1382,+31.826718,-086.643238
01,013,953000,1,729,+31.892989,-086.770906
01,013,953000,2,740,+31.819193,-086.781449
01,013,953100,1,1284,+31.822449,-086.620512
01,013,953100,2,983,+31.814010,-086.626610
01,013,953100,3,756,+31.794963,-086.649240
01,013,953200,1,601,+31.894745,-086.489939
01,013,953200,2,1212,+31.829413,-086.610964
01,013,953200,3,1700,+31.787531,-086.525962
01,013,953200,4,814,+31.718693,-086.577974
01,013,953300,1,1002,+31.696109,-086.673712
01,013,953300,2,772,+31.738699,-086.784209
01,013,953400,1,1619,+31.637879,-086.733015
01,013,953400,2,1312,+31.613642,-086.791326
01,013,953500,1,1410,+31.568271,-086.672824
01,015,000200,1,1226,+33.672729,-085.820339
01,015,000200,2,1878,+33.663141,-085.815585
01,015,000300,1,1269,+33.672246,-085.830135
01,015,000300,2,1682,+33.680134,-085.833707
01,015,000400,1,1091,+33.675641,-085.864683
01,015,000400,2,643,+33.685901,-085.847478
01,015,000400,3,1078,+33.671242,-085.853090
01,015,000500,1,880,+33.662037,-085.848005
01,015,000500,2,934,+33.663684,-085.839381
01,015,000600,1,1473,+33.648120,-085.835953
01,015,000600,2,718,+33.628202,-085.836196
01,015,000700,1,768,+33.735576,-085.805727
01,015,000700,2,1312,+33.710689,-085.822326
01,015,000700,3,635,+33.718111,-085.808451
01,015,000800,1,1379,+33.648795,-085.824029
01,015,000900,1,833,+33.651367,-085.781893
01,015,000900,2,1458,+33.650279,-085.813861
01,015,000900,3,1071,+33.638585,-085.802706
01,015,001000,1,1662,+33.635749,-085.765491
01,015,001000,2,1535,+33.628928,-085.777829
01,015,001000,3,999,+33.635075,-085.796365
01,015,001000,4,1596,+33.625175,-085.810102
01,015,001100,1,1854,+33.613829,-085.796962
01,015,001100,2,2518,+33.593763,-085.801478
01,015,001100,3,1121,+33.595639,-085.841307
01,015,001100,4,1072,+33.591844,-085.766536
01,015,001201,1,2009,+33.609655,-085.852312
01,015,001201,2,1473,+33.614403,-085.834649
01,015,001202,1,1491,+33.599310,-085.889997
01,015,001202,2,1038,+33.594884,-085.862979
01,015,001202,3,1789,+33.590889,-085.891089
01,015,001300,1,1272,+33.641292,-085.870722
01,015,001300,2,939,+33.649615,-085.873032
01,015,001400,1,806,+33.671258,-085.877348
01,015,001400,2,926,+33.657735,-085.915190
01,015,001400,3,1169,+33.645957,-085.895991
01,015,001400,4,830,+33.662878,-085.890326
01,015,001500,1,1852,+33.606465,-085.960360
01,015,001500,2,2099,+33.601691,-085.970918
01,015,001500,3,1247,+33.624813,-085.917121
01,015,001600,1,733,+33.713108,-085.864928
01,015,001600,2,1156,+33.704033,-085.845644
01,015,001600,3,1009,+33.697837,-085.836395
01,015,001600,4,893,+33.694688,-085.852213
01,015,001700,1,1924,+33.730604,-085.837602
01,015,001700,2,2160,+33.727028,-085.855573
01,015,001700,3,1475,+33.715151,-085.835982
01,015,001700,4,770,+33.714011,-085.826466
01,015,001800,1,1232,+33.756563,-085.763091
01,015,001800,2,1363,+33.755926,-085.800747
01,015,001800,3,1365,+33.771643,-085.810950
01,015,001800,4,1129,+33.759115,-085.835367
01,015,001800,5,855,+33.749040,-085.833969
01,015,001800,6,975,+33.752674,-085.819308
01,015,002000,1,2148,+33.678200,-085.713874
01,015,002000,2,1234,+33.766199,-085.663772
01,015,002000,3,1497,+33.634099,-085.703309
01,015,002000,4,1149,+33.768156,-085.697506
01,015,002000,5,1307,+33.641685,-085.724738
01,015,002101,1,1451,+33.823896,-085.766932
01,015,002101,2,2541,+33.824550,-085.773171
01,015,002102,1,1284,+33.829163,-085.747704
01,015,002102,2,1261,+33.817294,-085.755584
01,015,002102,3,866,+33.827327,-085.752417
01,015,002103,1,1714,+33.802373,-085.748053
01,015,002103,2,2921,+33.800826,-085.768785
01,015,002103,3,2166,+33.792299,-085.765444
01,015,002200,1,1114,+33.907311,-085.583688
01,015,002200,2,1138,+33.900800,-085.634710
01,015,002200,3,723,+33.918732,-085.608781
01,015,002200,4,677,+33.921471,-085.599354
01,015,002300,1,1268,+33.934632,-085.675818
01,015,002300,2,760,+33.929129,-085.624956
01,015,002300,3,1106,+33.940442,-085.604063
01,015,002300,4,709,+33.928541,-085.608696
01,015,002400,1,2482,+33.889420,-085.761591
01,015,002400,2,2036,+33.827317,-085.818825
01,015,002501,1,855,+33.787632,-085.952135
01,015,002501,2,1614,+33.799688,-085.891654
01,015,002501,3,2960,+33.769281,-085.867397
01,015,002501,4,1640,+33.760384,-085.908161
01,015,002502,1,1050,+33.875507,-085.943281
01,015,002502,2,944,+33.848425,-085.868735
01,015,002502,3,2086,+33.907465,-085.863075
01,015,002502,4,581,+33.831866,-085.915649
01,015,002600,1,2095,+33.737348,-086.043969
01,015,002600,2,1605,+33.829754,-086.021869
01,015,002600,3,915,+33.783386,-086.015492
01,015,981901,1,6,+33.621536,-085.936196
01,015,981902,1,5,+33.720797,-085.988224
01,015,981903,1,0,+33.706896,-085.750320
01,017,953800,1,1409,+33.047080,-085.262781
01,017,953800,2,1540,+33.051985,-085.471797
01,017,953800,3,670,+33.011433,-085.353507
01,017,953900,1,862,+32.917893,-085.231519
01,017,953900,2,538,+32.879663,-085.193119
01,017,953900,3,808,+32.876338,-085.205714
01,017,953900,4,692,+32.871306,-085.195765
01,017,954000,1,1094,+32.894544,-085.524158
01,017,954000,2,1018,+32.930411,-085.387914
01,017,954000,3,986,+32.915173,-085.410245
01,017,954000,4,1326,+32.892474,-085.416522
01,017,954000,5,1003,+32.873740,-085.393764
01,017,954000,6,1242,+32.786708,-085.494222
01,017,954200,1,1185,+32.860593,-085.251519
01,017,954200,2,617,+32.835594,-085.228138
01,017,954200,3,1455,+32.834195,-085.250533
01,017,954300,1,949,+32.818943,-085.193239
01,017,954300,2,904,+32.806977,-085.190579
01,017,954300,3,605,+32.795876,-085.192536
01,017,954300,4,1303,+32.765284,-085.225036
01,017,954300,5,947,+32.782104,-085.283959
01,017,954400,1,995,+32.846593,-085.202059
01,017,954500,1,1142,+32.862248,-085.205031
01,017,954500,2,1069,+32.865936,-085.194321
01,017,954500,3,830,+32.858890,-085.192944
01,017,954500,4,763,+32.846961,-085.215134
01,017,954600,1,899,+32.848963,-085.172307
01,017,954600,2,1221,+32.840513,-085.179009
01,017,954600,3,1291,+32.821821,-085.173278
01,017,954700,1,1300,+32.798453,-085.174052
01,017,954700,2,1563,+32.777324,-085.153477
01,017,954700,3,900,+32.789861,-085.183985
01,017,954700,4,1089,+32.757669,-085.195094
01,019,955701,1,1168,+34.226373,-085.598561
01,019,955701,2,1346,+34.220656,-085.564097
01,019,955701,3,818,+34.231819,-085.497025
01,019,955702,1,1743,+34.395516,-085.545335
01,019,955702,2,2129,+34.283104,-085.596868
01,019,955800,1,1590,+34.225343,-085.718026
01,019,955800,2,1515,+34.239387,-085.751533
01,019,955800,3,1419,+34.203067,-085.805486
01,019,955800,4,1037,+34.148386,-085.783523
01,019,955900,1,2015,+34.129498,-085.660944
01,019,955900,2,894,+34.088053,-085.705699
01,019,955900,3,1326,+34.006305,-085.645983
01,019,956000,1,1330,+34.160770,-085.628398
01,019,956000,2,778,+34.152506,-085.656684
01,019,956000,3,1909,+34.171326,-085.689240
01,019,956100,1,734,+34.161027,-085.560180
01,019,956100,2,1109,+34.144249,-085.476474
01,019,956100,3,1963,+34.026877,-085.492826
01,019,956100,4,1166,+34.099535,-085.550242
01,021,060101,1,864,+32.834659,-086.646291
01,021,060101,2,1012,+32.821345,-086.623926
01,021,060101,3,1620,+32.813861,-086.658324
01,021,060101,4,1723,+32.826865,-086.606940
01,021,060102,1,1066,+32.840653,-086.669625
01,021,060102,2,1472,+32.859453,-086.645873
01,021,060102,3,948,+32.851188,-086.628570
01,021,060102,4,705,+32.855561,-086.615551
01,021,060102,5,2112,+32.876240,-086.655242
01,021,060200,1,1585,+32.859907,-086.588110
01,021,060200,2,1222,+32.851315,-086.530960
01,021,060300,1,1996,+32.973745,-086.653169
01,021,060300,2,1812,+32.954511,-086.577166
01,021,060401,1,2029,+32.938603,-086.714318
01,021,060401,2,1361,+32.934224,-086.748426
01,021,060401,3,2076,+32.911548,-086.719720
